cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,site_position_time,mono_drive_rate,location,site_depth,hub_height
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,271.36600621872196,MonopileInstallation,,,,,,
,Feeder 0,ActiveFeeder,188.1219288079779,940609.6440398894,ACTION,271.36600621872196,MonopileInstallation,,,,Site,,
,Feeder 0,Jackdown,0.0008341675008341675,4.170837504170837,ACTION,271.3668403862228,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,272.36600621872196,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,273.36600621872196,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 0,Transit,3.2432432432432434,16216.216216216217,ACTION,274.61008362946603,MonopileInstallation,,,,,,
,Feeder 1,Queue,111.36600621872194,556830.0310936096,ACTION,274.61008362946603,MonopileInstallation,,,,Site,,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,277.36600621872196,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,277.6826728853886,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,282.6826728853886,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,282.9993395520553,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,283.9993395520553,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,286.61008362946603,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Release Monopile,3.0,31250.0,ACTION,286.9993395520553,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,287.7224050873831,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,287.7256550873831,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
