cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,340.43060514369097,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,344.43060514369097,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,344.74727181035763,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,346.74727181035763,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,347.0639384770243,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,348.0639384770243,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,351.0639384770243,MonopileInstallation,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,351.7870040123521,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,351.7902540123521,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,352.7902540123521,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,354.2902540123521,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,356.2902540123521,MonopileInstallation,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,357.2902540123521,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,358.2902540123521,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,362.2902540123521,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,362.60692067901874,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,365.85016392226197,MonopileInstallation,,,,
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,377.85016392226197,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,385.85016392226197,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,397.85016392226197,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,405.85016392226197,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,417.85016392226197,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,425.85016392226197,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,437.85016392226197,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,445.85016392226197,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,449.0934071655052,MonopileInstallation,,,,
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,451.0934071655052,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,451.41007383217186,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,452.41007383217186,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,455.41007383217186,MonopileInstallation,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,456.13313936749967,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,456.13638936749965,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,457.13638936749965,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,458.63638936749965,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,460.63638936749965,MonopileInstallation,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,461.63638936749965,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
